Gross debt position (% of GDP),1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,,,,,,,,,,,,,345.977479,270.6023637,244.9666907,206.3560065,22.9846435,20.13663136,19.05707572,16.24726137,7.69694932,7.501084371,6.759467879,6.904479171,8.70029105,9.154082857,8.437266097,7.997660199,7.384412942,6.130409903,7.785332974,8.829394471,9.553288379,10.25975873,10.96129232,11.64728716
Albania,,,,,,,,72.19423189,71.18368329,68.18264192,63.76868358,60.61278195,64.09691558,60.24456153,57.47427086,58.20335897,56.68810624,53.55030323,55.13980555,59.66648297,57.71955223,59.41262647,62.14446707,70.39106314,71.99229972,73.71633557,73.32440992,71.89471811,69.50866342,67.82514387,75.95970884,75.41983697,75.00827662,71.60910675,70.53036974,66.40324246
Algeria,,79.5705994,63.90587231,72.91170403,98.41296211,116.1950932,98.14785992,85.09459751,84.50831511,89.35725121,69.40645083,54.267336,51.27632976,41.3889511,35.21085548,26.31138467,23.63561987,13.50594327,8.056428025,9.774736373,10.4916011,9.254304882,9.325658289,7.600840754,7.673274953,8.747241876,20.45195845,26.8249066,37.81532765,45.77074531,53.06726236,63.31205416,73.90503436,84.41828573,94.29144543,102.8830657
Angola,,,,,,,,,,,133.9141396,113.5045839,73.73617503,57.96783968,47.7170673,33.46404183,18.72879033,21.04349445,31.37823243,56.30224695,37.16284025,29.55771502,26.69055968,33.14910364,39.80985691,57.09302443,75.66263732,69.26494745,89.0002871,107.1065853,127.115413,110.7453887,99.55489166,91.40139917,82.42879661,74.24092512
Anguilla,,,,,,,,,,,9.109439111,10.56256975,12.23099984,11.61893645,15.99482773,17.45583196,14.07442001,14.03771818,15.37838365,25.09418964,32.52048694,29.38906354,30.94145369,30.44244595,26.3961263,23.83577607,63.84334312,67.38512862,60.69154407,48.11977988,67.70898576,70.12651055,57.96325392,49.57870599,42.38240324,36.17328872
Antigua and Barbuda,98.07076573,99.07461122,95.47942231,90.1465417,89.65547642,98.32258784,91.67348394,87.02246288,102.6086281,104.6027199,104.6530745,117.9142692,126.2635287,125.1871769,120.146989,92.68396365,89.150962,77.8641211,76.08064112,100.9667726,89.74199583,91.80300788,87.49408921,95.79104783,107.8334703,105.2669874,91.89079499,97.65409742,92.36190006,81.84895765,103.0915309,111.7805053,103.0786002,98.1392611,92.72186086,88.6550995
Argentina,,,24.96098744,26.89271391,28.42598327,30.74937987,32.55075272,31.67579873,34.14687999,38.91698626,40.83283885,48.00661871,147.2025483,125.1616342,117.8778484,80.28179898,70.79268956,62.13271077,53.81385162,55.39708036,43.45431548,38.93485442,40.43604801,43.49606978,44.6968502,52.56264331,53.06017955,57.02784192,86.43091035,90.19375969,102.997581,92.87077265,88.17323939,83.90601121,81.12252522,78.07241616
Armenia,,,,,,,40.78193361,46.5032022,45.189237,39.19077888,39.58741986,38.05261165,38.2476038,33.015776,26.44587792,20.46716654,16.18289655,14.24950348,14.63183489,34.13796317,33.75701715,35.70239755,35.60048727,36.33062468,39.36163358,44.13299091,51.92890342,53.70443393,51.2325602,49.90730516,62.78704658,69.87717644,68.75731639,65.20786629,62.47188257,59.97924124
Aruba,,,,,,55.09521132,54.77081215,51.06842421,41.03857962,39.28814628,38.61331617,44.32561325,47.07865028,40.8481105,42.543007,45.09308087,45.51803761,44.55787729,40.31058752,48.78494517,54.66131645,61.74739307,65.53418435,70.0328558,77.45184782,73.87623501,75.38736367,75.82506166,75.00367603,72.19956947,116.9711719,130.3346348,121.4021827,112.6584226,103.9510737,99.93599384
Australia,16.44374289,21.65069353,27.67776496,30.71950231,31.7817609,31.23285415,29.42275805,25.95989586,23.75328041,22.59378689,19.55286356,17.16919534,15.0489642,13.22525618,11.94366993,10.89432417,9.965210281,9.687909708,11.75343096,16.6538602,20.39460105,24.06941681,27.53585787,30.4967945,34.02698074,37.69905944,40.50543788,41.11500871,41.65701205,47.47244201,63.12767943,72.10465317,77.01289478,78.03815607,77.21656231,76.03204204
Austria,55.93172813,56.13418572,56.02772548,60.62884438,63.72081531,67.86475594,67.80722447,63.0558096,68.81875724,61.10316575,65.73761835,66.35455391,66.97779746,64.89627689,64.8486579,68.31751648,67.00070643,64.7404975,68.41735773,79.57976921,82.4176655,82.17817383,81.66093159,81.01126485,83.75793983,84.4010895,82.54860909,78.60781342,74.04005949,70.51334414,85.22413039,87.17442732,85.74275914,84.60443144,82.65519815,80.08388653
Azerbaijan,,,,,,19.20911051,16.72123521,12.46567519,14.29077487,25.41373931,22.83718556,24.38730935,23.01766021,21.82825935,9.709979508,6.8546552,5.296648376,4.003317909,3.220765186,4.726182379,4.980865937,4.966863696,5.830601512,6.178835808,8.532623898,17.98039224,20.60832562,22.50860846,18.68538681,17.70270057,21.37019171,30.94863558,31.37801147,32.35496892,31.14822096,31.44438808
"Bahamas, The",14.33702651,16.68627639,19.38346695,21.4272356,22.09561961,22.22480568,21.93549822,22.60337255,21.71765375,20.23769478,20.28581841,19.74548539,20.4034137,22.60986073,23.2014623,22.75006735,23.4702209,22.57614421,24.76600268,29.93182827,32.72587678,34.54615483,35.14769008,44.37064267,46.42373736,48.29003996,50.00431739,52.3768804,59.76144401,58.04228651,75.49349357,84.34335945,84.51089319,83.8329343,82.20862614,81.19088521
Bahrain,7.54471351,6.994220821,6.724586655,6.198520233,5.860611765,14.19865875,13.67452903,15.38276419,20.84498727,25.71676827,25.74455638,26.07581343,28.3785794,32.4515603,29.39631309,24.19348141,20.25152574,16.34489591,12.56276698,21.36254306,30.01052936,32.80163586,36.20807404,43.93778428,44.39837945,66.17634715,81.32570429,88.12918303,94.97883371,102.103591,132.8777002,129.4169777,134.2390145,138.7850748,143.0121001,147.8149536
Bangladesh,,,,,,,,,,,,,,44.32169691,43.48184932,42.29555622,42.32450047,41.91341757,40.57323332,39.54272411,35.48539611,36.62345366,36.22062979,35.82004496,35.27343892,33.68112674,33.33126789,33.3763077,34.56504798,35.69408352,38.85544986,40.15822164,40.15889493,39.6425464,39.42891607,39.31203178
Barbados,,,,,56.64955355,58.87586999,59.37364262,60.40531525,54.52713736,54.18143587,61.27677213,67.77025883,71.55587805,72.15553088,72.44911159,75.21512934,77.8189472,77.89938434,81.99216493,100.3723717,108.9204888,112.3496714,124.1223247,135.299322,139.3898654,147.9178908,150.5996484,159.1263362,127.2811285,121.6484323,151.2121804,146.5063428,133.1657533,123.9300563,116.5454009,109.7522609
Belarus,,,,,,,,,,,,,,,9.22274498,8.11509673,12.27415756,15.8131825,20.29502961,32.54684868,36.80521254,58.2233335,36.94622231,36.85947265,38.79060488,53.00688848,53.48163012,53.15984561,47.51523606,40.99921508,48.04500528,45.71582265,46.78637401,44.58839216,44.40631098,42.93183856
Belgium,130.3076054,131.7972204,134.68401,138.9258912,137.083405,131.2866706,129.0039573,124.2711991,119.1858966,115.3628057,109.5890411,108.216846,105.43668,101.6593113,97.16966512,95.14187016,91.49441336,87.32462407,93.16004344,100.2167557,100.2731729,103.4947123,104.8105134,105.4856445,107.0460839,105.2286766,105.0057547,102.0200409,99.75848086,98.05902512,114.9897818,115.8615845,116.2340032,117.383501,118.8926855,120.5777187
Belize,,,,,,,,,,,,66.95591639,71.61669681,89.49936771,94.239351,97.43576563,93.91476647,89.26400821,83.29981341,90.56386841,86.99650544,83.13361893,79.57651152,80.94757464,78.94355612,82.71448412,88.97668833,96.58063851,96.00950781,97.51610193,127.4077302,134.5788527,132.1425369,129.9954255,130.0236251,130.0038082
Benin,,,,,,,,,39.19827783,39.40892225,39.59194114,37.98651118,30.76804176,23.38085204,21.50953025,26.97813898,8.366122298,14.28590371,18.30665552,18.7476805,20.99976509,21.86041054,19.54020639,18.503746,22.28207466,30.90022983,35.92334976,39.59846316,41.0803507,41.22964235,45.38692303,47.73194749,46.33593402,44.80546328,42.8876829,41.10842524
Bhutan,,,,64.68903285,57.15006554,41.63259257,39.58849033,35.43206354,39.1106075,42.14877411,47.30688417,56.24926424,62.00369628,73.75947776,81.98244471,87.18903948,85.44609002,71.67746177,65.04252951,65.68301449,60.97354214,69.11124627,79.3474084,102.2822369,98.83376808,98.56504979,117.2752618,111.7242636,110.4647183,106.6077715,120.7434939,123.3519676,116.6305748,114.8284793,108.7967436,106.4467724
Bolivia,,,,,,,,,,,66.89122294,59.95744444,69.14356721,74.06558633,89.81029446,82.15802698,54.37507363,40.03169958,36.78500483,39.20931183,37.6373751,35.32671804,35.39427964,36.09712728,37.6027067,40.90466816,46.48986157,51.26021066,53.84977611,56.5154605,67.28995259,68.98560981,70.6528571,72.0865749,73.64486196,75.00243739
Bosnia and Herzegovina,,,,,,,,,54.3973406,56.03887613,34.68628603,35.23008146,31.19818361,27.63518833,25.48658781,25.51515237,21.24532047,18.70922554,30.88539871,35.06660314,40.80536968,39.5501065,42.20738027,42.49906586,45.85871447,45.53111324,44.08149677,39.23971319,34.27107527,32.3501065,38.34083455,38.61737551,40.15906476,41.7036943,41.59015291,41.36278348
Botswana,,,,,,,,,11.96355098,9.559410497,8.212753421,7.566293165,8.476845659,7.247479909,10.67969179,7.761633978,6.587059357,5.668439244,7.619876099,18.75187851,21.44753929,20.59360479,19.820397,18.11577968,17.35145515,17.91116774,15.82374358,13.5878661,14.32606007,14.58264696,20.72852054,26.08042245,30.65815823,32.09093682,32.37771312,31.61865726
Brazil,,,,,,,,,,,65.56077363,70.05370354,78.79773559,73.82299935,70.07688275,68.58517105,65.84519185,64.13995196,62.3342322,65.46289766,63.04493874,61.20355834,62.19562816,60.19273711,62.31001754,72.57296543,78.28593051,83.63190581,85.6421924,87.65783956,98.94335608,98.4069111,98.79806934,100.1001379,100.9733473,101.3842841
Brunei Darussalam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.597269037,0.691582114,0.94371186,1.108024185,1.112907524,2.128520085,2.100636786,2.208599297,3.23122759,2.953086861,3.004878804,2.825507119,2.585699022,2.575239948,2.854290052,2.338699276,2.437212373,2.462441427,2.434131529,2.394565661
Bulgaria,,,,,,,,,67.32187885,78.67092235,73.34144821,67.06037633,53.40392221,45.42780796,37.76350277,28.47155976,22.6083222,17.59871134,14.71334848,14.54039743,14.14962907,14.40791728,16.62670236,17.22718073,26.34840374,25.41798737,27.06925257,22.99486603,20.10668994,18.40262117,23.79095512,25.50906785,26.60970919,27.32083004,26.58963269,25.51465014
Burkina Faso,,,,,,,,,,,,,43.28694195,39.67368691,40.74045299,39.2143463,20.08843996,22.81450195,23.03098488,25.8712008,27.76386539,24.50360151,25.2104903,25.90083229,26.55549986,31.3731053,33.27649633,33.49817985,37.65405638,42.672143,44.32579084,46.79591317,48.10637949,48.49480886,47.88565265,47.35137367
Burundi,,,,,,,,,,,136.4251126,127.3866682,159.088312,171.969259,172.738336,136.9801189,130.2548505,129.6132456,102.5152332,25.69016304,46.91165325,42.70570963,41.43078659,37.85786159,37.97089434,39.92620463,46.11901524,46.9022457,52.97086853,60.13203001,69.51290988,75.59029033,74.20281637,72.6243265,70.82442714,69.33290248
Cabo Verde,,,,,,,,89.51396934,82.22778428,69.96777826,82.63675912,79.913842,82.54842152,81.35889471,83.74457253,85.33857861,77.72691955,64.98095763,57.60040337,64.1418313,72.54552137,78.49722051,91.09243091,102.4898774,115.9235176,126.6485589,128.3647824,127.216869,125.5907041,124.9799789,139.0414188,137.5735678,131.2584304,123.7748544,115.608686,107.4557863
Cambodia,,,,,,,30.15086012,31.57620833,37.18330396,34.73696142,35.23455343,34.86881214,39.74832144,43.09941889,42.70341318,35.56103749,30.68224888,29.38733389,26.99534671,28.46516462,28.74403046,29.73549591,31.53411162,31.73374422,31.90119654,31.15669057,29.12416915,29.99490747,28.63844378,28.9735619,31.57626545,33.37130295,35.3989019,37.95403165,40.95990618,43.8807246
Cameroon,,,,,,,,,73.19787439,73.85801283,79.315661,65.61472464,60.4105826,56.42759938,55.76895961,47.6500024,19.81012905,14.74960791,11.65710053,12.03567709,14.70448314,15.69008301,15.41194583,18.21193296,21.53379176,31.98149242,33.25497591,37.67879996,39.47380867,41.6764122,43.16990416,42.53571002,41.95260871,40.49538807,38.93452795,37.23716555
Canada,73.74425055,81.65817152,88.22998847,94.73024763,97.48046648,100.084173,100.2438843,95.27249191,93.29018827,88.96566914,80.4366085,81.46203332,79.60406938,75.91179736,71.88939989,70.64040968,69.91983183,66.86163884,67.8860692,79.2723253,81.2184883,81.7779301,85.40521815,86.12908839,85.57941308,91.19230362,91.73260398,88.84123961,88.83185847,86.82055574,117.8422013,116.2598866,112.7911544,109.2685862,105.7257127,102.0209105
Central African Republic,,,,,,,,96.13749163,85.32139873,84.16182509,94.67912374,103.1149494,98.51825602,95.88629038,99.72351847,102.9624065,46.74996424,47.85079642,35.76599444,20.3003043,19.8833811,19.68629066,31.53279477,51.78958752,62.23995092,59.7904141,53.8873002,50.27490518,50.03395849,47.17893599,44.9323747,42.23079784,39.16315912,37.18870581,35.59672048,34.37121991
Chad,,,,,,,,,,57.96643347,67.98491844,56.4488631,54.432,44.656,32.635,28.4839741,26.16542692,22.06953314,20.09864525,31.52545587,30.05070329,30.56580856,28.76468164,30.63087879,39.5061058,43.88163472,51.34435115,50.26841347,49.05514082,44.28612957,43.0027387,41.69284425,41.23533133,41.78162175,41.32550122,38.2835285
Chile,,37.22301683,30.50482967,28.16716969,22.72815839,17.33634141,14.68759533,12.90358511,12.17980673,13.36520984,13.21877866,14.45850571,15.1672418,12.71676688,10.29877729,7.000403188,4.98920034,3.878688633,4.920911067,5.820141397,8.559418128,11.08839767,11.94548203,12.73225173,14.95759068,17.27684263,21.01449801,23.60524447,25.62392561,28.20487969,32.54222253,33.63483063,36.82358506,39.57431783,41.30606124,41.80213483
"China, People's Republic of",,,,,,21.61892076,21.42541234,20.60499338,20.66444073,21.86295593,22.98670716,24.57461999,25.91554619,26.80032058,26.39322588,26.31166052,25.56791961,29.16434045,27.15879761,34.56702283,33.92428554,33.7716055,34.39306235,37.0352853,39.96924113,41.48882375,48.2379953,51.73278173,53.8446957,57.05409756,66.82551893,69.60481922,73.7213928,77.285253,80.42354794,83.29212561
Colombia,,,,,,,23.28585003,25.26277178,27.45350475,33.9825618,37.98777159,41.09536261,47.54557004,45.03974802,41.48226492,38.53260946,35.9692704,32.66325122,32.38241907,35.38676423,36.49703978,35.78350663,33.96652677,37.59225835,43.31889375,50.41909805,49.79625917,49.4363665,53.58409541,52.31522501,62.78727045,64.16898947,64.34359313,63.54662753,61.40026631,59.25875402
Comoros,108.3680785,104.0753934,101.1768687,95.9175999,87.96202505,77.86442325,75.52521867,71.05432488,69.53640831,64.6235982,60.81816916,53.04625719,48.23870378,44.49779112,42.44646033,39.86459967,38.47897693,35.61557117,33.21703212,31.72957409,30.4586217,27.66820289,25.07315982,10.27714616,13.39415628,14.52033075,15.14050025,19.34629627,18.57528213,25.24865464,26.80743499,29.96444904,31.0369992,32.01887124,32.91171231,33.48799306
"Congo, Dem. Rep. of the",,,,,,,,,,,134.9822586,181.616717,136.0422851,114.4640421,141.7589734,101.4723513,103.1807434,84.94837151,87.84091456,91.25967676,30.57242213,24.96254696,21.78428864,19.11919251,16.80280076,16.99464634,19.53358342,19.05313581,15.29848044,15.53782871,15.15649547,12.38425194,10.63563337,8.692160221,7.133115219,5.807482997
"Congo, Republic of ",0,0,0,0,0,0,0,0,0,0,145.0197886,180.0824742,163.5131711,185.3095807,181.3149858,99.14448276,94.72486682,93.75744544,69.5980215,83.83552452,43.48701021,34.389938,30.19758088,33.93915411,42.3254126,74.19015714,91.04774986,94.22407916,78.55661515,83.31668976,101.6820659,90.45745904,84.53930299,74.94848958,69.62862809,63.78106888
Costa Rica,,,,,,,33.68545821,30.55907726,40.69085985,38.98383466,38.8501596,39.64388531,41.43784333,40.56577893,41.00162173,37.32080519,33.03683214,26.97525735,24.00712913,26.02562677,28.08977201,29.51310152,33.74121342,35.07622352,37.43645828,39.78570642,44.05436205,47.06316355,51.90895661,56.83712492,68.34716842,72.48354686,74.96981194,75.95063625,75.62448709,74.20157362
Croatia,,,,,,,,,22.00937914,28.30966401,33.42900859,34.95212648,36.80025394,38.18383539,40.31607638,41.26816493,38.7587861,37.41442602,39.29525777,48.6654715,57.68433131,64.18087752,70.01513527,80.99888852,84.69264318,84.32214967,80.7955034,77.52898632,74.24959714,72.82964984,87.20665228,86.2898901,83.32152008,80.2258546,77.68270241,74.35848344
Cyprus,,,,,,46.7492381,48.82762078,53.48006783,54.98576128,55.66253918,55.97829165,57.52437176,61.00984247,63.00592435,64.68660917,64.02944193,59.03125,53.14964452,44.12612575,52.82110595,55.48560271,64.98629003,79.37460778,102.9102367,109.0860064,107.1589931,103.064033,93.5099081,99.17742131,94.03556317,118.2012552,112.9692658,105.3859949,102.2658657,95.10070214,91.35249536
Czech Republic,,,,,,13.57164604,11.57722679,12.19371251,13.95588661,15.18355886,16.98947613,22.70594767,25.83194536,28.16931189,28.3761371,27.70601178,27.56119507,27.3267258,28.11917801,33.35754314,37.07020264,39.54614146,44.15426402,44.42423273,41.85908767,39.69956618,36.58929473,34.23574615,32.06531273,30.24503353,37.57008868,43.98637761,48.04398682,51.35005036,53.91520543,56.05942102
Côte d'Ivoire,,,,,,,,84.18225073,75.16056964,78.01848827,73.98713139,71.17210591,62.98205268,56.38124406,56.71803564,58.16436672,57.4710326,53.53296656,51.24025622,46.47589539,45.61214665,50.02883473,32.58472145,31.36846315,32.40315646,34.19409438,35.63663952,36.85443456,40.09547035,41.22130159,45.7072932,46.2894514,46.55644899,46.25924816,46.05770793,45.92162478
Denmark,,,66.77031251,78.62700411,75.23686508,71.39268083,68.26099424,64.27827932,60.27949716,56.76408212,52.35430259,48.50830389,49.08095743,46.15009838,44.15591746,37.41225473,31.54940378,27.34595243,33.31318312,40.18179675,42.58788045,46.07088595,44.89420064,44.04560971,44.27026522,39.77369379,37.19952804,35.52841821,33.834807,33.01204881,43.42035958,41.60783019,42.91799421,43.77703244,44.16024419,44.29626793
Djibouti,,,,,,,,,,,,,,,,,,,,29.55516078,27.9057385,25.7022357,25.06956279,24.59291487,26.91022449,39.91346862,45.68457057,47.91575053,46.50828692,38.65487563,42.23550047,40.23194994,38.21689887,36.67797524,34.36035852,32.68941505
Dominica,56.56130391,58.70521927,55.30140248,55.40600777,56.97560276,59.2814612,54.66487542,49.27542429,57.08962106,61.97803974,69.55305202,97.49029131,99.36035546,98.22007667,85.81775023,84.93506839,80.44679135,74.90017439,66.52739199,62.81045863,67.31594257,68.63582983,74.03170231,75.01475031,79.91638173,77.69491892,73.0033322,84.82529033,83.33584756,86.13451111,97.70228351,100.2410622,94.20712363,89.88484881,84.44800283,78.6452989
Dominican Republic,,,,,,,,13.84772882,13.2487829,15.9767648,16.70722198,20.35141479,21.48650533,48.15023029,34.34550505,38.32153651,36.02183611,32.90674929,33.60681114,36.73416856,37.31087051,39.05263463,42.32045391,46.71461211,44.85272961,44.92126664,46.56858652,48.83965769,50.402704,53.53737073,69.40465941,66.59940039,65.40707414,64.05593881,62.88685529,61.65452389
Ecuador,,,,,,,,,,,,60.30560159,52.16109868,45.06184998,38.6653602,34.699966,31.12778406,28.46434251,24.22890021,18.56791606,17.69578506,16.78938494,17.49550279,20.03140056,27.07513101,33.79811459,43.16637428,44.61667995,46.13949303,51.50249259,64.58240173,65.10445412,64.05951123,61.23153982,59.51796811,55.98537154
Egypt,,,,,,,,,73.82386466,72.39758383,71.6873519,79.14624254,85.7760132,97.09486426,96.51184915,98.2625574,85.92422878,76.26755743,66.76061466,69.45003841,69.58954106,72.82997563,73.7996059,84.02058697,85.12657277,88.30479971,96.80888758,103.0398271,92.48388696,84.21397569,90.18616838,92.85817559,88.85403133,86.86198456,82.85844955,78.8132136
El Salvador,,43.32925896,36.36082155,31.86847238,30.54934122,28.04095517,28.54797253,27.79084908,25.65223235,27.99492033,29.55129984,36.46887083,42.31613525,44.47179456,45.35873356,44.83263029,45.33281166,44.94601963,43.89363586,49.15914038,56.35133934,59.16566874,63.57323014,63.16574485,65.29556314,67.03792606,68.76622475,70.5263179,70.09361575,70.95701974,88.20356922,88.22385018,93.31973773,100.4657455,104.0393684,108.9337854
Equatorial Guinea,157.0044751,169.4653682,136.8704982,152.5752675,215.973415,136.8744924,91.18550306,46.2614728,59.23316751,60.47790722,36.62746913,25.47707496,19.44671132,6.713131677,4.525943769,2.848871466,1.220132831,0.75386536,0.488085866,4.336992336,7.894111093,7.170424862,7.097239618,6.272055301,12.55993327,31.65670296,41.13942272,36.23513431,40.15506828,44.02192317,51.07933697,44.05140104,45.8328681,45.0770276,44.001552,43.23031302
Eritrea,,,,,,,,,,,219.0602431,238.5206516,243.3917369,263.9373593,193.4751877,205.3321353,199.0463642,201.2797722,259.6666478,206.8956303,198.3647349,160.7639513,154.6057332,186.9913323,136.5622384,180.7121391,167.5105984,202.5360879,185.606833,189.3497642,184.7010174,175.5750361,164.2343104,155.8767576,147.7199987,139.8247202
Estonia,,,,,,8.668885462,7.306831203,6.041324883,5.406063039,5.927459412,5.106986182,4.768163428,5.65837181,5.598087711,5.113417838,4.702522037,4.631824862,3.765533206,4.504068627,7.198937223,6.606297883,6.104865353,9.764137224,10.16214137,10.55451465,9.996044696,9.913147676,9.111923798,8.201218231,8.438986667,18.4982256,25.14442839,30.33436215,34.35145454,37.34447781,39.47298587
Eswatini,,,,15.18571422,13.37269145,12.51165568,11.60980605,12.6015017,15.47345201,16.69104845,18.15897835,21.7567928,17.13682937,17.48157729,15.02810546,13.5005617,14.58963196,16.11945258,14.59577739,10.4866612,14.09574416,14.68533686,14.76475382,15.00536534,14.13540946,19.65782344,25.18502387,28.31450159,34.66561257,39.87885114,47.82647732,53.53272927,58.64958048,58.59216551,57.42139472,56.16003251
Ethiopia,,,85.39360276,136.8883135,150.6786573,142.3417998,128.9595617,77.43301976,86.01023304,94.25579532,93.63260064,97.32475753,107.3627759,103.6907278,103.1041126,78.23878453,67.86795684,42.39959712,38.53377994,35.18607256,39.60809785,45.32565885,42.17550125,47.50107777,47.55004192,54.45547409,54.87077278,57.72327683,61.10643167,57.7202309,55.26328431,56.03510168,56.27675982,52.53286472,48.6360522,44.00520383
Fiji,,,42.21629287,44.2657707,47.61788356,48.36717485,48.79742076,54.13172401,36.63022478,32.70300131,36.9255844,41.03481392,43.38506703,44.85363953,44.53406085,43.98945821,49.20405359,46.0426157,47.46373487,51.50418934,51.84114957,48.64208038,47.65327011,45.84682352,44.50805128,43.04452256,44.71762459,44.40781097,46.38925077,48.89616311,73.65655995,83.62932731,78.15283268,74.47311364,72.32890862,71.04704812
Finland,13.85551748,21.89366101,39.28761058,54.13355225,56.12981518,55.15124456,55.30597651,52.21511276,46.8267012,44.0109994,42.42975037,40.89249661,40.11623991,42.68759596,42.57234281,39.86471306,37.99718908,33.90400007,32.56067743,41.53135953,46.90474798,48.27119466,53.62246751,56.22916881,59.8259071,63.64155026,63.17577902,61.16706997,59.61826417,59.32673218,67.09779645,68.78827286,69.1539524,69.9059288,70.5747525,70.94912712
France,35.58458767,36.47505507,40.22164789,46.55381795,49.88697879,56.10400953,59.99524063,61.42590718,61.35087314,60.4996863,58.88061897,58.34091796,60.25837795,64.41539837,65.93823191,67.38188068,64.61052154,64.53723163,68.77704052,83.03975063,85.25582008,87.83653465,90.60208617,93.41159434,94.8894414,95.58176009,97.95763808,98.31789598,97.98895957,98.06975516,113.4614329,115.2098462,114.269056,115.2223507,115.8978487,116.3192881
Gabon,89.99418991,89.34844645,87.87037041,90.13537165,71.26578517,73.35985674,64.54910791,57.0398217,87.58521571,73.0859808,72.49690696,80.97943722,81.07006157,70.24102863,60.3012686,49.32633868,39.59781486,39.23709944,20.05319151,25.99174899,21.2952134,21.42499727,21.44243625,31.11281073,34.06279755,44.7032096,64.19872241,62.88553597,60.91397012,59.54899713,72.50404185,71.05421909,70.30840543,68.15756961,64.67012584,60.42094485
"Gambia, The",,,,,,,,,,,73.25022937,75.2298671,93.87527871,91.69429175,81.30305866,82.59647144,87.34426724,38.02286101,39.52827727,38.86814254,42.94865155,49.24063858,49.49189457,58.24417008,71.08602072,69.36887704,80.94830837,86.97918657,84.61097518,80.11471473,75.82727494,73.91278882,69.96279201,65.19726704,60.4133447,55.43792037
Georgia,,,,,,,,,,,58.51529109,52.98290442,50.26353713,54.55122801,44.27774149,35.32193543,28.27846653,22.53598661,26.34633172,33.64880358,31.91972552,28.36123535,28.8150603,29.49286397,30.9180137,36.66591214,40.25532626,38.58445781,37.49596491,40.43586085,60.62077096,63.85781991,61.03950735,59.15853396,57.24768956,55.51173148
Germany,,38.98461344,41.45370903,45.09535151,47.53698997,54.90243375,57.79392936,58.86658338,59.53470478,60.13940412,59.06575822,57.9365167,59.70351937,63.30891629,64.98771282,67.34651337,66.70463884,63.99423896,65.52222864,72.99010929,82.31847606,79.74208854,81.07904025,78.66046561,75.61475424,72.31572478,69.27675022,65.10242771,61.78014605,59.64442383,68.9262746,70.25122674,67.28373561,64.81121867,62.23844843,59.64481336
Ghana,18.9651186,18.47044933,22.85471554,37.05995028,55.23271601,51.3085303,46.11916914,48.69118322,40.60077737,55.75969474,80.19373882,61.95536533,57.98079362,52.9500333,41.29338339,34.19122238,18.58924774,22.6437003,24.94768129,26.95908977,34.57776603,31.42571434,35.58338084,43.21741408,51.1589211,54.80155507,57.09368702,58.32427574,63.23350678,63.89892016,78.00913661,81.46989801,83.23098479,84.80159914,85.98198861,86.55316819
Greece,73.7765275,75.31778092,80.64763427,101.1411771,99.1313692,99.83203112,102.1973612,100.2980377,98.25370755,99.74822855,105.8277105,107.9921808,105.7551116,102.3191053,103.7452755,108.3057891,104.4550605,103.9799421,110.3468251,127.8232072,147.4942443,183.8687312,161.9707095,178.9740335,181.5397888,178.9841576,183.4129157,182.3776259,189.8859943,184.9026376,213.1010806,210.0932012,200.4902336,193.0559974,189.1463048,184.7694723
